frame_id,ball_x,ball_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,target_label
1,0.0,0.0,1350.6179,666.45953,655.1111,483.02948,260.62976,627.937,919.07996,487.05267,1626.2598,593.38684,1079.3676,604.7756,Coordinated Defense
2,0.0,0.0,1350.476,668.6508,657.51025,483.19186,244.14099,627.96326,1626.0084,593.9358,1071.98,603.08124,585.793,796.203,Coordinated Defense
3,1584.1722,738.7163,1344.0028,668.6402,661.9263,482.68375,228.90782,627.28436,1625.4949,593.8938,913.46564,487.21783,1065.7241,603.0781,Coordinated Defense
4,1585.2633,735.4132,664.70105,482.90793,1344.5792,667.6367,913.77216,488.703,1626.6509,594.53046,1049.1227,601.8055,574.834,791.6585,Coordinated Defense
5,1585.3066,736.0469,668.39777,483.96332,1344.67,667.7348,915.63214,487.41675,212.38669,623.308,1628.5402,594.59515,1045.9109,602.2322,Coordinated Defense
6,1586.708,737.0627,1345.4438,665.1103,669.71606,483.99533,912.0619,487.48495,1039.3263,603.41394,1634.3567,594.54175,205.46867,619.33325,Coordinated Defense
7,1586.9229,737.0883,1346.7424,663.91864,670.837,484.4623,194.74811,616.4119,1632.0221,595.8055,1037.3623,603.96857,912.28,489.97537,Coordinated Defense
8,1587.0067,738.0543,1347.0005,663.2035,671.5142,485.0866,188.59514,613.7385,1632.9697,596.46747,1042.1737,603.0875,916.1515,489.75998,Coordinated Defense
9,1587.3752,738.5963,1344.2859,661.3919,671.858,486.69116,183.25832,612.0441,1640.3741,596.2665,1048.4287,599.88257,1254.3656,526.6275,Coordinated Defense
10,1587.1692,738.6203,1335.9359,662.2115,671.71387,487.90915,1641.4581,596.15375,180.57968,613.1146,1049.805,598.7454,919.8272,489.97708,Coordinated Defense
11,1586.4904,739.74866,1334.6351,656.71155,671.8723,487.85788,178.46199,611.0514,1636.2742,595.9231,1043.9054,598.6867,917.81445,493.78952,Coordinated Defense
12,1586.5597,739.84814,1332.4003,653.62366,672.48193,488.58472,173.13023,610.62476,1041.7429,599.3973,1633.7281,595.80566,923.354,490.6456,Coordinated Defense
13,1586.2778,739.6272,1328.3989,651.98505,672.6639,489.26437,1634.745,595.87744,167.64001,609.4639,1037.8325,599.65564,922.0546,491.4162,Coordinated Defense
14,1586.0675,739.68054,1324.1,654.9825,672.07904,489.6443,162.61996,609.8855,1638.6584,595.6979,1033.4954,599.26733,920.53186,493.89243,Coordinated Defense
15,1585.8573,739.73395,159.97151,609.70447,671.6197,490.6838,1314.0154,655.40283,1640.5953,596.41956,1027.4844,597.9035,924.91437,493.43854,Coordinated Defense
16,1598.8094,739.30524,1306.8534,652.24744,671.66736,490.42368,157.37697,611.6423,1646.2552,597.94977,1026.465,596.898,923.91254,493.6529,Coordinated Defense
17,1605.041,740.4877,1300.098,651.6747,672.5665,491.07443,150.47508,613.9374,1649.6819,598.87695,1019.94086,596.61145,924.5281,493.15106,Coordinated Defense
18,1611.6313,741.0427,675.31976,491.35123,1292.1844,651.09283,145.4893,615.45575,1015.6548,595.54694,1650.9333,600.3177,921.3993,494.0648,Coordinated Defense
19,1618.2218,741.5978,676.2058,492.05463,1288.6827,650.14685,137.40497,616.866,1016.6219,592.8937,1658.5573,602.8625,925.75616,494.93246,Coordinated Defense
20,1624.8123,742.15283,676.4202,493.0705,1280.0963,649.52203,126.61704,619.29047,1663.3582,603.2416,1011.80304,591.0539,924.50104,493.04135,Coordinated Defense
21,1631.4027,742.7079,676.28253,493.18533,1274.946,648.67737,1664.1075,605.1255,121.73644,619.1631,1009.2436,589.37836,919.702,490.35626,Coordinated Defense
22,1637.9932,743.2629,676.4574,494.0549,1270.2461,648.9741,1665.9734,606.7078,115.40936,619.14984,1005.29376,587.90247,509.12076,786.7942,Coordinated Defense
23,1644.5835,743.81793,676.6128,493.4636,1666.7981,606.1263,104.13939,617.72864,1264.2844,650.3369,1001.9085,583.10266,507.15213,791.299,Coordinated Defense
24,1651.174,744.373,676.7434,494.06354,1668.0848,605.37256,97.89595,616.48694,1261.075,650.4316,998.7699,581.3689,509.05344,793.5387,Coordinated Defense
25,1657.7644,744.92804,676.8771,494.3137,1668.8658,605.22894,93.334526,616.9613,1255.3763,648.1652,994.5484,581.0611,508.93146,795.6716,Coordinated Defense
26,1664.3549,745.4831,677.1313,494.34802,90.68358,615.3046,1669.8143,603.96216,1250.1475,648.94635,992.28033,579.82074,508.52356,798.7325,Coordinated Defense
27,1670.9453,746.03815,677.2453,494.3469,87.84608,614.8875,1671.9318,603.793,1247.279,645.9134,986.84015,579.43646,510.08444,802.50916,Coordinated Defense
28,1112.4486,167.5423,677.2807,494.3638,1673.4116,606.1825,84.39319,614.44226,1244.3602,638.1666,980.3016,579.26447,511.06906,806.0028,Coordinated Defense
29,808.2411,-150.38065,677.12195,494.2144,1674.7563,607.5503,81.44551,614.13715,1241.7926,641.31274,972.8443,577.37476,511.36636,810.3221,Coordinated Defense
