frame_id,ball_x,ball_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,target_label
1,0.0,0.0,912.798,627.6524,452.82748,617.58777,1305.6481,621.0853,1380.5615,510.71045,0.0,0.0,0.0,0.0,Spacing Breakdown
2,0.0,0.0,912.2992,628.92126,461.899,613.2157,1298.6558,619.34814,1378.274,511.2923,0.0,0.0,0.0,0.0,Spacing Breakdown
3,0.0,0.0,913.34357,629.5141,467.7389,609.51514,1293.2871,617.24066,1376.6528,510.23602,0.0,0.0,0.0,0.0,Spacing Breakdown
4,0.0,0.0,912.56323,628.8594,469.13928,605.0324,1287.7971,616.02057,1374.8068,506.4342,0.0,0.0,0.0,0.0,Spacing Breakdown
5,0.0,0.0,913.0688,628.96454,1283.069,613.02686,471.20148,603.6226,1373.0149,505.21472,0.0,0.0,0.0,0.0,Spacing Breakdown
6,0.0,0.0,912.53107,631.0822,1282.261,612.6486,472.09512,602.126,1370.4601,502.3006,0.0,0.0,0.0,0.0,Spacing Breakdown
7,0.0,0.0,909.79663,631.05963,473.2935,601.2094,1276.5411,612.51416,1369.0476,504.3795,0.0,0.0,0.0,0.0,Spacing Breakdown
8,0.0,0.0,902.688,633.0266,477.93564,602.74,1268.025,614.1627,1367.3749,503.86768,0.0,0.0,0.0,0.0,Spacing Breakdown
9,0.0,0.0,894.9074,634.20886,485.15625,603.81024,1263.5481,615.8198,1366.5969,504.21875,0.0,0.0,0.0,0.0,Spacing Breakdown
10,0.0,0.0,887.69617,632.6666,1264.0658,619.65497,1367.9552,508.3798,489.51135,616.17773,0.0,0.0,0.0,0.0,Spacing Breakdown
11,0.0,0.0,879.01215,636.8115,488.7171,622.20496,1369.4535,511.12354,1262.9716,621.8106,0.0,0.0,0.0,0.0,Spacing Breakdown
12,0.0,0.0,873.7741,636.98224,489.9714,620.80646,1369.8066,513.8995,1263.958,624.62616,0.0,0.0,0.0,0.0,Spacing Breakdown
13,0.0,0.0,865.7025,640.30505,1370.0048,516.79767,490.64716,622.2728,1262.5477,624.88513,0.0,0.0,0.0,0.0,Spacing Breakdown
14,0.0,0.0,860.88324,640.2526,1369.9271,516.9448,1262.5243,625.7257,490.9907,619.5335,0.0,0.0,0.0,0.0,Spacing Breakdown
15,0.0,0.0,854.7512,639.1536,1258.6942,624.53015,491.8485,620.83234,1370.1765,518.1744,483.00436,485.33643,0.0,0.0,Spacing Breakdown
16,0.0,0.0,852.70483,640.2586,1255.8701,624.7409,1369.4209,519.5426,491.39926,615.6364,497.15698,486.12393,0.0,0.0,Spacing Breakdown
17,0.0,0.0,491.31427,620.39594,1261.4282,626.7818,1368.5085,519.59375,846.7986,638.92126,497.67712,488.1253,0.0,0.0,Spacing Breakdown
18,0.0,0.0,1269.0464,631.72095,843.6149,639.68835,1371.9661,518.7132,489.70792,618.25275,501.22806,491.00534,0.0,0.0,Spacing Breakdown
19,0.0,0.0,485.85034,611.9661,1270.1243,633.0423,849.3137,644.8326,1379.7611,518.4813,507.3291,489.2853,0.0,0.0,Spacing Breakdown
20,0.0,0.0,472.0,610.3483,1270.1025,633.07886,1384.32,516.78784,797.0632,642.06555,510.63068,485.7949,0.0,0.0,Spacing Breakdown
21,0.0,0.0,1270.3632,634.1777,450.4033,609.4898,1392.9972,516.31024,835.0392,653.52814,511.9858,482.93344,0.0,0.0,Spacing Breakdown
22,0.0,0.0,1270.2106,634.7434,428.3196,608.3007,1403.1423,514.5918,806.56506,656.6566,505.66776,482.48776,0.0,0.0,Spacing Breakdown
23,0.0,0.0,412.27707,605.9387,1270.9742,634.30865,1413.7068,511.94684,749.982,663.2755,504.14426,480.43976,0.0,0.0,Spacing Breakdown
24,0.0,0.0,386.12164,609.1578,1270.6897,632.9465,1432.3864,510.40775,719.91376,669.7104,0.0,0.0,0.0,0.0,Spacing Breakdown
25,0.0,0.0,373.2317,609.33813,1271.4265,632.17084,1447.3823,511.65448,693.34644,678.83344,0.0,0.0,0.0,0.0,Spacing Breakdown
26,0.0,0.0,1273.5427,631.9145,362.687,614.6576,1463.6443,509.43942,627.22394,694.854,0.0,0.0,0.0,0.0,Spacing Breakdown
27,0.0,0.0,361.1734,615.1079,1275.5238,631.5321,1480.2598,507.341,602.4642,701.24023,0.0,0.0,0.0,0.0,Spacing Breakdown
28,0.0,0.0,360.64417,614.1257,1276.3665,634.50214,1493.2981,508.72165,635.827,722.1222,0.0,0.0,0.0,0.0,Spacing Breakdown
29,0.0,0.0,1277.6027,635.5504,361.30035,611.45233,1511.2024,509.1992,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
